x,稻作,雜糧,特用作物,蔬菜,水果,其他農作物,豬,其他畜牧產品,農事服務,林產品,漁產品,原油及天然氣礦產,砂、石及其他礦產品,屠宰生肉,肉類其他加工及保藏品,水產加工及保藏品,蔬果加工及保藏品,動植物油脂,乳品,米,製粉,動物飼品,烘焙炊蒸食品、巧克力及糖果,糖,調味品,其他食品,酒精飲料,非酒精飲料,菸草,棉、毛、絲麻紡紗及織布,人造纖維紡紗及織布,針織布,不織布,印染整理,其他紡織品,成衣,服飾品,皮革,鞋類製品,其他皮革製品,製材,合板及組合木材,其他木竹製品,紙漿、紙及紙板,其他紙製品,印刷及資料儲存媒體複製,石油煉製品,焦炭及其他煤製品,基本化學材料,石油化工原料,肥料及氮化合物,塑膠原料,合成橡膠原料,合成纖維原料,其他人造纖維,農藥及環境用藥,塗料、染料及顏料,清潔用品及化粧品,未分類其他化學製品,藥品及醫用化學製品,橡膠製品,塑膠製品,玻璃及其製品,陶瓷製品,水泥,水泥製品,其他非金屬礦物製品,生鐵及粗鋼,鋼鐵初級製品,鋁,其他基本金屬,金屬刀具、手工具及模具,金屬結構及建築組件,金屬容器,金屬加工,其他金屬製品,半導體,被動電子元件,印刷電路板,光電材料及元件,其他電子零組件,電腦,電腦週邊設備,通訊傳播設備,視聽電子產品,資料儲存媒體,量測、導航、控制設備及鐘錶,輻射及電子醫學設備、光學儀器,發電、輸電及配電機械,電池,電線及配線器材,照明設備及配備,家用電器,其他電力設備及配備,金屬加工用機械設備,其他專用機械設備,通用機械設備,汽車及其零件,船舶及浮動設施,機車及其零件,自行車及其零件,未分類其他運輸工具及其零件,非金屬家具,金屬家具,育樂用品,未分類其他製品,產業用機械設備修配及安裝,電力及蒸汽,燃氣,自來水,廢水及污水處理,廢棄物清除、處理,資源回收處理,其他污染整治,住宅工程,其他房屋工程,公共工程,其他營造工程,商品批發經紀,批發,零售,軌道車輛運輸,其他陸上運輸,水上運輸,航空運輸,運輸輔助,倉儲,郵政及快遞,住宿,餐飲,出版品,影片及音樂發行,廣播、電視節目編排及傳播,電信,電腦程式設計、諮詢及相關服務,資訊服務,金融服務,保險,證券期貨及金融輔助,不動產開發,不動產經營及相關服務,住宅服務,法律及會計服務,建築、工程服務及技術檢測、分析服務,研究發展服務,廣告及市場研究,專門設計,其他專業及技術服務,租賃,人力仲介及供應,旅行及相關服務,保全及偵探,建築物及綠化服務,行政支援服務,公共行政及國防；強制性社會安全,教育,醫療保健,社會工作服務,藝術、娛樂及休閒服務,人民團體及其他社會服務,汽車維修及美容,其他個人及家庭用品維修,家事服務,其他未分類服務,中間需要合計,民間消費,政府消費,固定資本形成,存貨變動,商品及服務輸出,最終需要合計,總需要∥總供給,國內生產總額,商品及服務輸入
印染整理,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3650,13780,6967,272,3551,2355,3186,269,0,196,111,0,0,0,0,7,0,0,0,0,0,0,0,0,875,0,0,0,0,0,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35814,0,0,0,0,0,0,35814,35814,0
其他化學材料,0,0,0,34,86,39,0,0,0,2,13,0,0,0,3,0,9,0,0,0,62,588,14,4,76,187,413,228,1,1,119,3,7,79,4,0,2,19,20,0,0,9,0,1178,339,85,60,1,17039,3420,2950,2705,588,253,212,185,3384,2092,14636,865,733,2550,1871,238,72,16,2602,575,1633,717,4940,15,73,21,5693,246,26,1799,5525,2265,182,1,20,214,0,28,5,3,0,1108,2,83,11,299,1,18,6,190,2,27,3,0,28,7,253,96,33,49,0,239,0,0,0,0,0,0,0,33,0,0,0,0,3,0,0,0,0,0,8,27,0,0,0,1,0,0,0,0,0,0,0,0,0,296,3054,0,0,134,15,0,0,0,45,2,99,1647,5206,0,3,0,0,0,0,2,97107,18,0,0,-187,40420,40251,137358,53694,83664
ＰＴＡ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2604,0,35633,0,14780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53172,0,0,0,-164,3363,3199,56371,56371,0
其他石油化工原料,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,94,0,0,4,81,0,0,0,14,0,0,0,27,319,22,22,329,116,0,0,26,34,0,70,160,0,956,526,1784,7718,0,5583,129219,224,70009,3301,2917,175,311,6208,5184,23450,3514,3584,16691,28,0,181,0,218,900,805,36,565,38,292,40,1111,254,75,76,121,0,26,0,39,1,1,81,0,0,0,24,37,6,5,301,63,143,164,319,40,1,0,1,0,6,13,28,71,279,0,0,0,3,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,495,1476,0,0,99,0,0,0,0,1,0,3,8,0,0,0,0,38,35,0,25,291278,0,0,0,-1691,151144,149453,440731,269501,171230
其他塑膠原料,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,34,1,34,0,0,0,0,38,0,10,1127,5,418,411,1341,12,3,27,1407,68,1,438,34,0,2110,445,0,0,105,954,1,24246,331,11502,0,0,6172,0,7034,0,518,32442,178,30,0,32,194,0,506,19,80,778,116,356,97,332,1657,77,362,13784,1605,6500,545,90,8,3106,269,1053,200,88,545,92,803,337,29,673,1012,3325,315,553,330,7,247,125,1183,1816,0,0,0,0,0,0,0,0,0,0,87,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1194,0,0,0,0,0,0,0,0,0,36,6,0,0,0,0,0,0,0,0,136266,0,0,0,-3392,113579,110187,246453,181023,65430
染料、顏料及油墨,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,839,1193,825,98,4516,300,231,5,90,77,32,2,54,0,79,1185,6088,30,0,10,0,1,446,1,28,0,0,6127,150,3615,11,89,2603,23,47,28,5,861,0,99,200,5,0,60,83,234,105,55,148,6698,39,179,0,4,16,1,200,9,31,0,0,2,3,2,5,0,12,12,0,0,2,0,0,20,79,485,148,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,1320,20,117,0,0,0,0,0,0,0,110,0,0,0,168,1344,5,45,0,0,0,0,0,57,89,138,0,0,0,0,0,0,0,0,42058,382,0,0,8,16762,17152,59210,27412,31798
其他基本金屬及其鑄造品,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,3,14,0,0,0,0,2,20,0,0,10228,19,17,0,0,0,24,0,307,0,14501,0,35,0,691,23,6,0,28,220,31277,2694,49367,5032,1170,13,4287,4784,17511,1150,3540,3881,98,71,168,426,39,467,500,73,193,3210,984,413,7,2286,96,419,2099,510,138,704,106,1238,9,565,1316,2780,14,0,0,0,0,0,0,0,67,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,3,0,0,0,0,0,0,0,0,0,0,2224,0,0,0,0,1,0,0,3,0,107,18,0,0,0,0,0,0,0,0,172259,0,0,0,692,52642,53334,225593,79195,146398
其他基本金屬廢品,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,18,8,159,0,17873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,5311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24331,0,0,0,28,7851,7879,32210,6578,25632
記憶體,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,24809,0,0,653,60883,39389,11129,5335,618,0,2741,159,1,18,0,0,83,252,6,121,7,65,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,144,0,0,0,0,0,0,0,0,38,2052,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,148593,0,0,0,-3172,143833,140661,289254,178561,110693
積體電路,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,12,0,0,2,0,0,0,0,0,48,0,5,0,0,224699,0,12860,77536,80280,208917,32112,68724,1609,0,8929,17087,1134,7370,5,5,102,7233,7,178,605,519,0,29,0,0,0,0,281,187,40,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309,7506,785,0,0,0,0,0,0,0,1676,13323,0,20,0,0,0,0,0,0,0,0,293,0,0,0,0,0,158,0,0,774591,0,0,0,21926,668164,690090,1464681,992135,472546
